year,region,t2m_Mar
1955,Brest,-2.838
1955,Gomel,-2.874
1955,Grodno,-3.441
1955,Minsk,-3.907
1955,Mogilev,-4.248
1955,Vitebsk,-4.959
1956,Brest,-3.020
1956,Gomel,-3.375
1956,Grodno,-3.326
1956,Minsk,-3.870
1956,Mogilev,-4.046
1956,Vitebsk,-5.125
1957,Brest,-0.762
1957,Gomel,-1.892
1957,Grodno,-1.611
1957,Minsk,-2.542
1957,Mogilev,-3.314
1957,Vitebsk,-3.978
1958,Brest,-3.693
1958,Gomel,-2.777
1958,Grodno,-4.322
1958,Minsk,-4.211
1958,Mogilev,-4.492
1958,Vitebsk,-5.134
1959,Brest,2.599
1959,Gomel,1.008
1959,Grodno,2.101
1959,Minsk,0.985
1959,Mogilev,-0.271
1959,Vitebsk,-0.785
1960,Brest,-1.463
1960,Gomel,-3.436
1960,Grodno,-3.032
1960,Minsk,-4.001
1960,Mogilev,-5.316
1960,Vitebsk,-5.646
1961,Brest,3.590
1961,Gomel,2.827
1961,Grodno,2.654
1961,Minsk,2.199
1961,Mogilev,1.817
1961,Vitebsk,1.494
1962,Brest,-4.410
1962,Gomel,-4.121
1962,Grodno,-4.997
1962,Minsk,-5.278
1962,Mogilev,-5.389
1962,Vitebsk,-6.567
1963,Brest,-4.783
1963,Gomel,-6.053
1963,Grodno,-5.731
1963,Minsk,-6.732
1963,Mogilev,-7.365
1963,Vitebsk,-8.416
1964,Brest,-4.904
1964,Gomel,-5.383
1964,Grodno,-5.348
1964,Minsk,-5.630
1964,Mogilev,-6.283
1964,Vitebsk,-6.507
1965,Brest,-1.444
1965,Gomel,-1.868
1965,Grodno,-2.354
1965,Minsk,-2.713
1965,Mogilev,-3.471
1965,Vitebsk,-3.793
1966,Brest,1.695
1966,Gomel,1.983
1966,Grodno,0.578
1966,Minsk,0.411
1966,Mogilev,0.779
1966,Vitebsk,-0.297
1967,Brest,2.597
1967,Gomel,1.428
1967,Grodno,1.949
1967,Minsk,1.305
1967,Mogilev,0.575
1967,Vitebsk,1.031
1968,Brest,0.848
1968,Gomel,-0.311
1968,Grodno,0.330
1968,Minsk,-0.398
1968,Mogilev,-1.437
1968,Vitebsk,-1.692
1969,Brest,-4.055
1969,Gomel,-5.666
1969,Grodno,-4.682
1969,Minsk,-5.560
1969,Mogilev,-6.686
1969,Vitebsk,-6.512
1970,Brest,-0.751
1970,Gomel,-0.912
1970,Grodno,-1.319
1970,Minsk,-1.600
1970,Mogilev,-1.759
1970,Vitebsk,-1.872
1971,Brest,-2.385
1971,Gomel,-3.055
1971,Grodno,-3.061
1971,Minsk,-3.880
1971,Mogilev,-4.273
1971,Vitebsk,-4.471
1972,Brest,1.290
1972,Gomel,-0.006
1972,Grodno,0.503
1972,Minsk,-0.589
1972,Mogilev,-1.330
1972,Vitebsk,-1.588
1973,Brest,1.548
1973,Gomel,0.833
1973,Grodno,0.994
1973,Minsk,0.024
1973,Mogilev,-0.731
1973,Vitebsk,-0.741
1974,Brest,2.425
1974,Gomel,1.520
1974,Grodno,1.687
1974,Minsk,1.093
1974,Mogilev,0.590
1974,Vitebsk,0.055
1975,Brest,3.381
1975,Gomel,2.819
1975,Grodno,2.848
1975,Minsk,2.254
1975,Mogilev,1.503
1975,Vitebsk,1.197
1976,Brest,-2.551
1976,Gomel,-1.866
1976,Grodno,-3.122
1976,Minsk,-2.932
1976,Mogilev,-2.851
1976,Vitebsk,-3.294
1977,Brest,2.642
1977,Gomel,1.533
1977,Grodno,1.382
1977,Minsk,0.450
1977,Mogilev,-0.232
1977,Vitebsk,-1.153
1978,Brest,2.110
1978,Gomel,1.581
1978,Grodno,1.291
1978,Minsk,1.163
1978,Mogilev,0.779
1978,Vitebsk,0.572
1979,Brest,0.369
1979,Gomel,0.480
1979,Grodno,-0.437
1979,Minsk,-0.237
1979,Mogilev,-0.390
1979,Vitebsk,-0.621
1980,Brest,-4.096
1980,Gomel,-4.713
1980,Grodno,-4.790
1980,Minsk,-5.301
1980,Mogilev,-6.365
1980,Vitebsk,-6.524
1981,Brest,1.608
1981,Gomel,0.350
1981,Grodno,0.403
1981,Minsk,-0.304
1981,Mogilev,-1.365
1981,Vitebsk,-2.157
1982,Brest,1.778
1982,Gomel,0.954
1982,Grodno,1.059
1982,Minsk,0.359
1982,Mogilev,-0.055
1982,Vitebsk,-0.133
1983,Brest,2.206
1983,Gomel,1.093
1983,Grodno,0.801
1983,Minsk,0.104
1983,Mogilev,-0.741
1983,Vitebsk,-1.352
1984,Brest,-0.125
1984,Gomel,-0.470
1984,Grodno,-0.932
1984,Minsk,-1.791
1984,Mogilev,-1.949
1984,Vitebsk,-2.794
1985,Brest,-1.127
1985,Gomel,-2.877
1985,Grodno,-1.672
1985,Minsk,-2.480
1985,Mogilev,-3.705
1985,Vitebsk,-2.788
1986,Brest,0.331
1986,Gomel,-0.190
1986,Grodno,-0.233
1986,Minsk,-0.393
1986,Mogilev,-1.032
1986,Vitebsk,-0.765
1987,Brest,-4.722
1987,Gomel,-6.312
1987,Grodno,-5.437
1987,Minsk,-6.182
1987,Mogilev,-7.045
1987,Vitebsk,-6.828
1988,Brest,0.082
1988,Gomel,0.474
1988,Grodno,-1.104
1988,Minsk,-0.445
1988,Mogilev,-0.432
1988,Vitebsk,-0.791
1989,Brest,4.122
1989,Gomel,3.830
1989,Grodno,3.400
1989,Minsk,3.081
1989,Mogilev,2.954
1989,Vitebsk,2.809
1990,Brest,5.578
1990,Gomel,5.245
1990,Grodno,4.628
1990,Minsk,4.242
1990,Mogilev,3.851
1990,Vitebsk,3.471
1991,Brest,2.180
1991,Gomel,0.364
1991,Grodno,1.504
1991,Minsk,0.866
1991,Mogilev,-0.451
1991,Vitebsk,0.348
1992,Brest,3.082
1992,Gomel,3.129
1992,Grodno,2.351
1992,Minsk,2.498
1992,Mogilev,2.152
1992,Vitebsk,1.927
1993,Brest,-0.150
1993,Gomel,-0.327
1993,Grodno,-0.775
1993,Minsk,-0.991
1993,Mogilev,-1.356
1993,Vitebsk,-1.433
1994,Brest,1.625
1994,Gomel,0.208
1994,Grodno,0.255
1994,Minsk,-0.360
1994,Mogilev,-1.139
1994,Vitebsk,-1.283
1995,Brest,2.484
1995,Gomel,2.975
1995,Grodno,1.810
1995,Minsk,2.160
1995,Mogilev,2.105
1995,Vitebsk,1.803
1996,Brest,-3.487
1996,Gomel,-3.681
1996,Grodno,-3.796
1996,Minsk,-4.137
1996,Mogilev,-4.378
1996,Vitebsk,-4.457
1997,Brest,1.665
1997,Gomel,0.894
1997,Grodno,0.773
1997,Minsk,0.143
1997,Mogilev,-0.141
1997,Vitebsk,-0.562
1998,Brest,0.621
1998,Gomel,0.136
1998,Grodno,-0.235
1998,Minsk,-0.746
1998,Mogilev,-0.944
1998,Vitebsk,-1.443
1999,Brest,2.991
1999,Gomel,2.352
1999,Grodno,1.626
1999,Minsk,1.020
1999,Mogilev,0.629
1999,Vitebsk,0.111
2000,Brest,2.061
2000,Gomel,1.103
2000,Grodno,1.966
2000,Minsk,1.515
2000,Mogilev,0.467
2000,Vitebsk,0.918
2001,Brest,0.333
2001,Gomel,0.332
2001,Grodno,0.332
2001,Minsk,0.332
2001,Mogilev,0.331
2001,Vitebsk,0.331
2002,Brest,3.376
2002,Gomel,3.376
2002,Grodno,3.376
2002,Minsk,3.376
2002,Mogilev,3.376
2002,Vitebsk,3.376
2003,Brest,0.709
2003,Gomel,-0.114
2003,Grodno,0.376
2003,Minsk,-0.417
2003,Mogilev,-1.251
2003,Vitebsk,-0.924
2004,Brest,2.273
2004,Gomel,2.179
2004,Grodno,1.495
2004,Minsk,1.064
2004,Mogilev,0.752
2004,Vitebsk,0.226
2005,Brest,-1.956
2005,Gomel,-3.240
2005,Grodno,-3.149
2005,Minsk,-3.944
2005,Mogilev,-4.887
2005,Vitebsk,-5.290
2006,Brest,-2.383
2006,Gomel,-2.336
2006,Grodno,-3.246
2006,Minsk,-3.452
2006,Mogilev,-3.729
2006,Vitebsk,-3.988
2007,Brest,5.833
2007,Gomel,5.621
2007,Grodno,5.428
2007,Minsk,5.132
2007,Mogilev,4.974
2007,Vitebsk,4.637
2008,Brest,3.069
2008,Gomel,3.255
2008,Grodno,2.155
2008,Minsk,2.078
2008,Mogilev,2.180
2008,Vitebsk,1.332
2009,Brest,1.474
2009,Gomel,1.206
2009,Grodno,0.591
2009,Minsk,0.260
2009,Mogilev,-0.046
2009,Vitebsk,-0.436
2010,Brest,2.105
2010,Gomel,0.182
2010,Grodno,0.901
2010,Minsk,-0.111
2010,Mogilev,-1.224
2010,Vitebsk,-1.310
2011,Brest,0.909
2011,Gomel,-0.317
2011,Grodno,0.009
2011,Minsk,-0.535
2011,Mogilev,-1.568
2011,Vitebsk,-1.283
2012,Brest,3.105
2012,Gomel,1.307
2012,Grodno,2.037
2012,Minsk,1.121
2012,Mogilev,-0.222
2012,Vitebsk,-0.093
2013,Brest,-3.087
2013,Gomel,-3.388
2013,Grodno,-4.418
2013,Minsk,-5.023
2013,Mogilev,-5.242
2013,Vitebsk,-6.124
2014,Brest,5.936
2014,Gomel,5.837
2014,Grodno,5.287
2014,Minsk,5.125
2014,Mogilev,4.584
2014,Vitebsk,3.962
2015,Brest,4.633
2015,Gomel,4.398
2015,Grodno,4.205
2015,Minsk,3.944
2015,Mogilev,3.652
2015,Vitebsk,3.388
2016,Brest,3.078
2016,Gomel,2.655
2016,Grodno,1.998
2016,Minsk,1.599
2016,Mogilev,1.330
2016,Vitebsk,0.735
2017,Brest,5.405
2017,Gomel,4.899
2017,Grodno,4.336
2017,Minsk,4.035
2017,Mogilev,3.908
2017,Vitebsk,2.931
2018,Brest,-1.233
2018,Gomel,-2.631
2018,Grodno,-1.884
2018,Minsk,-2.576
2018,Mogilev,-3.746
2018,Vitebsk,-3.237
2019,Brest,4.445
2019,Gomel,3.896
2019,Grodno,3.550
2019,Minsk,3.181
2019,Mogilev,2.671
2019,Vitebsk,2.410
2020,Brest,3.994
2020,Gomel,4.479
2020,Grodno,3.491
2020,Minsk,3.300
2020,Mogilev,3.533
2020,Vitebsk,2.811
